IDENT	caseN20	refLen=59138	rc=-3	palLen=1154	dataLen=4524	mismatchAt=6	verdict=MISMATCH
HEXDIFF	caseN20	off=6	ref:00000000000010000402000111111111111111111111	nat:00000000000000000000000000000000000000000000
SECTION	caseN20	idx=0	bits=0	nonEmpty=0	biomeBits=0
SECTION	caseN20	idx=1	bits=4	nonEmpty=4096	biomeBits=2
SECTION	caseN20	idx=2	bits=4	nonEmpty=4096	biomeBits=3
IDENT	caseN21	refLen=61197	rc=-3	palLen=1156	dataLen=4780	mismatchAt=6	verdict=MISMATCH
HEXDIFF	caseN21	off=6	ref:00000000000010000402000111111111111111111111	nat:00000000000000000000000000000000000000000000
SECTION	caseN21	idx=0	bits=0	nonEmpty=0	biomeBits=0
SECTION	caseN21	idx=1	bits=4	nonEmpty=4096	biomeBits=2
SECTION	caseN21	idx=2	bits=4	nonEmpty=4096	biomeBits=3
IDENT	caseN22	refLen=63991	rc=-3	palLen=1172	dataLen=5036	mismatchAt=6	verdict=MISMATCH
HEXDIFF	caseN22	off=6	ref:00000000000010000402000111111111111111111111	nat:00000000000000000000000000000000000000000000
SECTION	caseN22	idx=0	bits=0	nonEmpty=0	biomeBits=0
SECTION	caseN22	idx=1	bits=4	nonEmpty=4096	biomeBits=2
SECTION	caseN22	idx=2	bits=4	nonEmpty=4096	biomeBits=3
IDENT	caseN23	refLen=67814	rc=-3	palLen=1236	dataLen=5446	mismatchAt=6	verdict=MISMATCH
HEXDIFF	caseN23	off=6	ref:00000000000010000402000111111111111111111111	nat:00000000000000000000000000000000000000000000
SECTION	caseN23	idx=0	bits=0	nonEmpty=0	biomeBits=0
SECTION	caseN23	idx=1	bits=4	nonEmpty=4096	biomeBits=2
SECTION	caseN23	idx=2	bits=4	nonEmpty=4096	biomeBits=3
IDENT	caseN24	refLen=76042	rc=-3	palLen=1536	dataLen=6032	mismatchAt=6	verdict=MISMATCH
HEXDIFF	caseN24	off=6	ref:00000000000010000402000111111111111111111111	nat:00000000000000000000000000000000000000000000
SECTION	caseN24	idx=0	bits=0	nonEmpty=0	biomeBits=0
SECTION	caseN24	idx=1	bits=4	nonEmpty=4096	biomeBits=2
SECTION	caseN24	idx=2	bits=4	nonEmpty=4096	biomeBits=3
IDENT	caseN25	refLen=76048	rc=-3	palLen=1537	dataLen=6032	mismatchAt=6	verdict=MISMATCH
HEXDIFF	caseN25	off=6	ref:00000000000010000402000111111111111111111111	nat:00000000000000000000000000000000000000000000
SECTION	caseN25	idx=0	bits=0	nonEmpty=0	biomeBits=0
SECTION	caseN25	idx=1	bits=4	nonEmpty=4096	biomeBits=2
SECTION	caseN25	idx=2	bits=4	nonEmpty=4096	biomeBits=3
IDENT	caseN26	refLen=78123	rc=-3	palLen=1538	dataLen=6032	mismatchAt=6	verdict=MISMATCH
HEXDIFF	caseN26	off=6	ref:00000000000010000402000111111111111111111111	nat:00000000000000000000000000000000000000000000
SECTION	caseN26	idx=0	bits=0	nonEmpty=0	biomeBits=0
SECTION	caseN26	idx=1	bits=4	nonEmpty=4096	biomeBits=2
SECTION	caseN26	idx=2	bits=4	nonEmpty=4096	biomeBits=3
