TC2D1	TC2D	Done (15.802s)	dormant	t_warm=25.3s	t_burst=14.9s	cpu_burst=14.0s
GC2D2	GC2D	Done (15.911s)	dormant	t_warm=25.8s	t_burst=15.0s	cpu_burst=17.1s
GD3	GD	Done (16.620s)	dormant	t_warm=22.3s	t_burst=14.5s	cpu_burst=15.3s
TC2AD4	TC2AD	Done (16.244s)	dormant	t_warm=28.9s	t_burst=16.1s	cpu_burst=18.3s
GAD5	GAD	Done (17.190s)	dormant	t_warm=20.3s	t_burst=12.5s	cpu_burst=13.8s
TC2A6	TC2A	Done (16.823s)	armed-verified(0s)	t_warm=27.0s	t_burst=18.0s	cpu_burst=18.4s
GA7	GA	Done (15.143s)	armed-verified(0s)	t_warm=20.8s	t_burst=19.0s	cpu_burst=19.3s
GA8	GA	Done (16.379s)	armed-verified(0s)	t_warm=25.8s	t_burst=23.0s	cpu_burst=19.3s
TC2A9	TC2A	Done (16.104s)	armed-verified(0s)	t_warm=28.3s	t_burst=21.8s	cpu_burst=23.0s
GAD10	GAD	Done (16.123s)	dormant	t_warm=20.8s	t_burst=14.9s	cpu_burst=13.8s
TC2AD11	TC2AD	Done (16.104s)	dormant	t_warm=21.3s	t_burst=12.9s	cpu_burst=13.5s
GD12	GD	Done (15.398s)	dormant	t_warm=20.9s	t_burst=14.0s	cpu_burst=15.7s
GC2D13	GC2D	Done (15.610s)	dormant	t_warm=20.3s	t_burst=17.9s	cpu_burst=15.4s
TC2D14	TC2D	Done (15.862s)	dormant	t_warm=27.2s	t_burst=27.0s	cpu_burst=19.6s
TC2I8	TC2I	Done (16.011s)	armed-verified(0s)	t_warm=28.5s	t_burst=20.1s	cpu_burst=18.9s
TC2P9	TC2P	Done (16.215s)	armed-verified(0s)	t_warm=26.3s	t_burst=23.1s	cpu_burst=21.1s
TC2P10	TC2P	Done (16.273s)	armed-verified(0s)	t_warm=23.4s	t_burst=24.7s	cpu_burst=23.5s
TC2I11	TC2I	Done (16.394s)	armed-verified(0s)	t_warm=29.4s	t_burst=19.2s	cpu_burst=19.9s
GA12	GA	Done (16.782s)	armed-verified(0s)	t_warm=21.4s	t_burst=18.5s	cpu_burst=18.6s
TC2A13	TC2A	Done (16.590s)	armed-verified(0s)	t_warm=20.8s	t_burst=27.9s	cpu_burst=22.8s
GAD14	GAD	Done (16.701s)	dormant	t_warm=21.3s	t_burst=13.0s	cpu_burst=14.6s
TC2AD15	TC2AD	Done (16.873s)	dormant	t_warm=25.3s	t_burst=17.4s	cpu_burst=15.8s
GD16	GD	Done (15.989s)	dormant	t_warm=25.4s	t_burst=12.4s	cpu_burst=14.1s
GC2D17	GC2D	Done (16.033s)	dormant	t_warm=21.8s	t_burst=23.6s	cpu_burst=19.9s
TC2D18	TC2D	Done (16.465s)	dormant	t_warm=20.9s	t_burst=25.0s	cpu_burst=18.7s
