22440:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        416345       33320016  [B (java.base@21.0.2)
   2:        270419       32668128  [Ljava.lang.Object; (java.base@21.0.2)
   3:        343385       21976640  net.minecraft.world.phys.AABB
   4:        141489       14714856  net.minecraft.world.phys.shapes.ArrayVoxelShape
   5:        391079        9385896  java.lang.String (java.base@21.0.2)
   6:        281395        8984104  [J (java.base@21.0.2)
   7:        140039        7842184  ca.spottedleaf.moonrise.patches.collisions.shape.CachedShapeData
   8:        140039        7842184  net.minecraft.world.phys.shapes.BitSetDiscreteVoxelShape
   9:        291767        7002408  it.unimi.dsi.fastutil.doubles.DoubleArrayList
  10:        141155        6775440  ca.spottedleaf.moonrise.patches.collisions.shape.CachedToAABBs
  11:        248483        5963592  net.minecraft.core.BlockPos
  12:        248399        5961576  net.minecraft.world.level.levelgen.structure.templatesystem.StructureTemplate$StructureBlockInfo
  13:         10016        4281864  [I (java.base@21.0.2)
  14:         29671        4272624  net.minecraft.world.level.block.state.BlockState
  15:        131087        4194784  java.util.HashMap$Node (java.base@21.0.2)
  16:        162534        3900816  java.util.ArrayList (java.base@21.0.2)
  17:         31397        3733520  java.lang.Class (java.base@21.0.2)
  18:          8527        3696472  [Ljava.util.HashMap$Node; (java.base@21.0.2)
  19:        140047        3361128  java.util.BitSet (java.base@21.0.2)
  20:         72267        2890704  [Lnet.minecraft.world.phys.shapes.VoxelShape;
  21:         53701        2829952  [D (java.base@21.0.2)
  22:         86092        2754944  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.2)
  23:         29152        1865728  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap
  24:          8911        1669032  Ljdk.internal.vm.FillerArray; (java.base@21.0.2)
  25:         36118        1444720  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap
  26:         32157        1286280  java.util.LinkedHashMap$Entry (java.base@21.0.2)
  27:         29782        1232816  [Z (java.base@21.0.2)
  28:          4218        1139584  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.2)
  29:         22714        1090272  java.lang.invoke.MemberName (java.base@21.0.2)
  30:         66621        1065936  net.minecraft.nbt.StringTag
  31:         28612         915584  net.minecraft.world.level.biome.Climate$Parameter
  32:         18326         733040  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@21.0.2)
  33:         22184         709888  com.mojang.datafixers.types.templates.Product$ProductType
  34:         29492         707808  net.minecraft.world.level.block.state.BlockBehaviour$BlockStateBase$Cache
  35:          9992         639488  java.util.LinkedHashMap (java.base@21.0.2)
  36:         35789         572624  java.lang.Object (java.base@21.0.2)
  37:         17867         571744  com.mojang.datafixers.types.templates.Tag$TagType
  38:         17543         561376  com.mojang.datafixers.types.templates.Sum$SumType
  39:         13761         550440  java.lang.invoke.MethodType (java.base@21.0.2)
  40:         33321         533136  com.mojang.datafixers.types.templates.Const
  41:         21568         517632  java.util.ImmutableCollections$List12 (java.base@21.0.2)
