23921:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        417562       33394888  [B (java.base@21.0.2)
   2:        270475       32700488  [Ljava.lang.Object; (java.base@21.0.2)
   3:        343385       21976640  net.minecraft.world.phys.AABB
   4:        141489       14714856  net.minecraft.world.phys.shapes.ArrayVoxelShape
   5:        392168        9412032  java.lang.String (java.base@21.0.2)
   6:        281395        8984104  [J (java.base@21.0.2)
   7:        140039        7842184  ca.spottedleaf.moonrise.patches.collisions.shape.CachedShapeData
   8:        140039        7842184  net.minecraft.world.phys.shapes.BitSetDiscreteVoxelShape
   9:        291767        7002408  it.unimi.dsi.fastutil.doubles.DoubleArrayList
  10:        141155        6775440  ca.spottedleaf.moonrise.patches.collisions.shape.CachedToAABBs
  11:        248483        5963592  net.minecraft.core.BlockPos
  12:        248399        5961576  net.minecraft.world.level.levelgen.structure.templatesystem.StructureTemplate$StructureBlockInfo
  13:         13229        4409136  [I (java.base@21.0.2)
  14:         29671        4272624  net.minecraft.world.level.block.state.BlockState
  15:        131100        4195200  java.util.HashMap$Node (java.base@21.0.2)
  16:        162558        3901392  java.util.ArrayList (java.base@21.0.2)
  17:         31469        3741640  java.lang.Class (java.base@21.0.2)
  18:          8529        3696208  [Ljava.util.HashMap$Node; (java.base@21.0.2)
  19:        140047        3361128  java.util.BitSet (java.base@21.0.2)
  20:         72267        2890704  [Lnet.minecraft.world.phys.shapes.VoxelShape;
  21:         53701        2829952  [D (java.base@21.0.2)
  22:         86739        2775648  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.2)
  23:         29152        1865728  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap
  24:         11993        1820440  Ljdk.internal.vm.FillerArray; (java.base@21.0.2)
  25:         36118        1444720  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap
  26:         32180        1287200  java.util.LinkedHashMap$Entry (java.base@21.0.2)
  27:         29785        1232888  [Z (java.base@21.0.2)
  28:          4565        1167760  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.2)
