9311:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        543571       48853368  [Ljava.lang.Object; (java.base@21.0.12.1)
   2:        435638       38653896  [B (java.base@21.0.12.1)
   3:         39543       34729688  [Ljdk.internal.vm.FillerElement; (java.base@21.0.12.1)
   4:         32026       28312768  [I (java.base@21.0.12.1)
   5:         94135       27242696  [D (java.base@21.0.12.1)
   6:        314211       26594192  [J (java.base@21.0.12.1)
   7:        347508       22240512  net.minecraft.world.phys.AABB
   8:        867705       20824920  net.minecraft.core.BlockPos
   9:        681245       16349880  com.google.common.collect.Iterators$ArrayItr
  10:        487199       15590368  net.minecraft.world.level.levelgen.SurfaceRules$Context$$Lambda/0x00007f54752c7ce0
  11:        141489       14714856  net.minecraft.world.phys.shapes.ArrayVoxelShape
  12:        495599       11894376  com.google.common.base.Suppliers$NonSerializableMemoizingSupplier
  13:        405687        9736488  java.lang.String (java.base@21.0.12.1)
  14:         97413        8887472  [S (java.base@21.0.12.1)
  15:        265372        8491904  java.util.HashMap$Node (java.base@21.0.12.1)
  16:        522981        8367696  java.lang.Object (java.base@21.0.12.1)
  17:        140040        7842240  net.minecraft.world.phys.shapes.BitSetDiscreteVoxelShape
  18:        140039        7842184  ca.spottedleaf.moonrise.patches.collisions.shape.CachedShapeData
  19:        291767        7002408  it.unimi.dsi.fastutil.doubles.DoubleArrayList
  20:        141155        6775440  ca.spottedleaf.moonrise.patches.collisions.shape.CachedToAABBs
  21:        248699        5968776  net.minecraft.world.level.levelgen.structure.templatesystem.StructureTemplate$StructureBlockInfo
  22:         93511        5236616  java.util.stream.ReferencePipeline$Head (java.base@21.0.12.1)
  23:        212162        5091888  com.mojang.serialization.DataResult$Success
  24:          9875        4992024  [Ljava.util.HashMap$Node; (java.base@21.0.12.1)
  25:         72761        4656704  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap
  26:        187423        4498152  java.util.ArrayList (java.base@21.0.12.1)
  27:         29671        4272624  net.minecraft.world.level.block.state.BlockState
  28:        119140        3812480  net.minecraft.world.level.levelgen.MarsagliaPolarGaussian
  29:        118145        3780640  net.minecraft.world.level.levelgen.Xoroshiro128PlusPlus
  30:         31235        3715464  java.lang.Class (java.base@21.0.12.1)
  31:        144322        3463728  java.util.BitSet (java.base@21.0.12.1)
  32:         92967        2974944  net.minecraft.world.level.chunk.PalettedContainer$Data
  33:         45912        2938368  it.unimi.dsi.fastutil.shorts.Short2ShortOpenHashMap
  34:         72267        2890704  [Lnet.minecraft.world.phys.shapes.VoxelShape;
  35:        116171        2788104  net.minecraft.world.level.levelgen.XoroshiroRandomSource
  36:         65672        2626880  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap
  37:         81924        2621568  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.12.1)
  38:        144766        2316256  net.minecraft.world.level.levelgen.feature.OreFeature$$Lambda/0x00007f5475307d98
  39:         92521        2220504  net.minecraft.world.level.chunk.PalettedContainer
  40:         64480        2063360  ca.spottedleaf.moonrise.patches.starlight.light.SWMRNibbleArray
  41:         45912        1836480  net.minecraft.world.level.chunk.LevelChunkSection
  42:         71372        1712928  java.util.stream.Streams$StreamBuilderImpl (java.base@21.0.12.1)
  43:        100706        1611296  net.minecraft.core.Holder$Direct
  44:         32530        1397624  [Z (java.base@21.0.12.1)
  45:         33447        1337880  net.minecraft.util.CubicSpline$Multipoint
  46:         81241        1299856  java.util.Optional (java.base@21.0.12.1)
  47:         32155        1286200  java.util.LinkedHashMap$Entry (java.base@21.0.12.1)
  48:         53587        1286088  net.minecraft.world.level.chunk.SingleValuePalette
  49:         80042        1280672  net.minecraft.nbt.StringTag
  50:         17493        1259496  net.minecraft.util.SimpleBitStorage
  51:         49386        1185264  org.apache.commons.lang3.mutable.MutableDouble
  52:          1440        1180408  [C (java.base@21.0.12.1)
  53:         71076        1137216  net.minecraft.nbt.CompoundTag
  54:         23169        1112112  java.lang.invoke.MemberName (java.base@21.0.12.1)
  55:         45912        1101888  ca.spottedleaf.moonrise.common.list.ShortList
  56:         67221        1075536  net.minecraft.world.level.levelgen.DensityFunctions$HolderHolder
  57:         42207        1012968  java.util.ImmutableCollections$ListN (java.base@21.0.12.1)
  58:         28612         915584  net.minecraft.world.level.biome.Climate$Parameter
  59:         35844         860256  net.minecraft.core.BlockPos$MutableBlockPos
  60:         53587         857392  net.minecraft.util.ZeroBitStorage
  61:           585         855536  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.12.1)
  62:         20878         835120  java.util.Spliterators$ArraySpliterator (java.base@21.0.12.1)
  63:         24821         794272  ca.spottedleaf.concurrentutil.map.ConcurrentLong2ReferenceChainedHashTable$TableEntry
  64:         18326         733040  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@21.0.12.1)
  65:         22184         709888  com.mojang.datafixers.types.templates.Product$ProductType
  66:         29492         707808  net.minecraft.world.level.block.state.BlockBehaviour$BlockStateBase$Cache
  67:         14514         696672  net.minecraft.world.level.levelgen.DensityFunctions$MulOrAdd
  68:         13850         664800  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$FastEntryIterator
  69:         10044         642816  java.util.LinkedHashMap (java.base@21.0.12.1)
  70:         12616         605568  java.util.HashMap (java.base@21.0.12.1)
  71:         14712         588480  net.minecraft.world.level.chunk.storage.SerializableChunkData$SectionData
  72:         17867         571744  com.mojang.datafixers.types.templates.Tag$TagType
  73:         11842         568416  it.unimi.dsi.fastutil.objects.ReferenceOpenHashSet
  74:         17718         566976  java.util.ArrayList$Itr (java.base@21.0.12.1)
  75:         14160         566400  java.lang.invoke.MethodType (java.base@21.0.12.1)
  76:         17543         561376  com.mojang.datafixers.types.templates.Sum$SumType
  77:         33447         535152  net.minecraft.world.level.levelgen.DensityFunctions$Spline$Coordinate
  78:         33321         533136  com.mojang.datafixers.types.templates.Const
  79:         22116         530784  java.util.ImmutableCollections$List12 (java.base@21.0.12.1)
  80:         16158         517056  java.util.ImmutableCollections$MapN (java.base@21.0.12.1)
  81:         20637         495288  net.minecraft.world.level.chunk.BulkSectionAccess$$Lambda/0x00007f54753078c0
  82:         11783         471320  net.minecraft.world.level.levelgen.DensityFunctions$Ap2
  83:         11700         468000  net.minecraft.world.level.levelgen.feature.FeaturePlaceContext
  84:         14600         467200  com.mojang.serialization.MapCodec$2
  85:         14583         466656  com.mojang.datafixers.types.templates.Named$NamedType
  86:         13795         441440  jdk.internal.util.WeakReferenceKey (java.base@21.0.12.1)
  87:          9118         437664  [Lnet.minecraft.world.level.biome.Climate$Parameter;
  88:         18195         436680  net.minecraft.resources.ResourceLocation
  89:         26869         429904  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet
  90:         13297         425504  java.util.PriorityQueue (java.base@21.0.12.1)
  91:         10608         424320  java.lang.invoke.BoundMethodHandle$Species_L (java.base@21.0.12.1)
  92:         10525         421000  java.util.EnumMap (java.base@21.0.12.1)
  93:         17536         420864  com.mojang.serialization.RecordBuilder$AbstractStringBuilder$$Lambda/0x00007f5475306498
  94:         16848         404352  org.bukkit.craftbukkit.block.impl.CraftWall
  95:           747         388264  [F (java.base@21.0.12.1)
  96:          4388         386144  java.lang.reflect.Method (java.base@21.0.12.1)
  97:          9615         384600  java.lang.invoke.DirectMethodHandle (java.base@21.0.12.1)
  98:         13473         380560  [Ljava.lang.Class; (java.base@21.0.12.1)
  99:         15497         371928  java.lang.invoke.ResolvedMethodName (java.base@21.0.12.1)
 100:          7604         364992  net.minecraft.world.level.biome.Climate$ParameterPoint
 101:         11268         360576  net.minecraft.world.level.ChunkPos
 102:           279         357120  [Lnet.minecraft.world.level.levelgen.Aquifer$FluidStatus;
 103:         14801         355224  net.minecraft.world.level.levelgen.DensityFunction$SinglePointContext
 104:         11069         354208  java.util.ImmutableCollections$ListItr (java.base@21.0.12.1)
 105:         14585         350040  net.minecraft.world.level.chunk.LinearPalette
 106:         14519         348456  com.mojang.datafixers.types.templates.Sum
 107:         14464         347136  com.google.common.collect.ImmutableMapEntry
 108:         10794         345408  com.google.common.collect.MapMakerInternalMap$WeakValueReferenceImpl
 109:          2232         339264  net.minecraft.world.level.levelgen.NoiseChunk$NoiseInterpolator
 110:         21010         336160  org.apache.commons.lang3.mutable.MutableBoolean
 111:          5984         335104  java.util.stream.ReferencePipeline$7 (java.base@21.0.12.1)
 112:         13850         332400  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntry
 113:         13625         327000  com.mojang.datafixers.types.templates.Product
 114:         20208         323328  [Lnet.minecraft.core.BlockPos;
 115:         13354         320496  com.mojang.datafixers.types.templates.Tag
 116:         13192         316608  com.mojang.datafixers.util.Pair
 117:         12998         311952  ca.spottedleaf.concurrentutil.executor.queue.AreaDependentQueue$Position
 118:          7764         310560  net.minecraft.world.level.redstone.CollectingNeighborUpdater$ShapeUpdate
