9986:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        418366       33444336  [B (java.base@21.0.12.1)
   2:        270326       32655968  [Ljava.lang.Object; (java.base@21.0.12.1)
   3:        343385       21976640  net.minecraft.world.phys.AABB
   4:        141489       14714856  net.minecraft.world.phys.shapes.ArrayVoxelShape
   5:        392977        9431448  java.lang.String (java.base@21.0.12.1)
   6:        281395        8984104  [J (java.base@21.0.12.1)
   7:        140039        7842184  ca.spottedleaf.moonrise.patches.collisions.shape.CachedShapeData
   8:        140039        7842184  net.minecraft.world.phys.shapes.BitSetDiscreteVoxelShape
   9:        291767        7002408  it.unimi.dsi.fastutil.doubles.DoubleArrayList
  10:        141155        6775440  ca.spottedleaf.moonrise.patches.collisions.shape.CachedToAABBs
  11:        248483        5963592  net.minecraft.core.BlockPos
  12:        248399        5961576  net.minecraft.world.level.levelgen.structure.templatesystem.StructureTemplate$StructureBlockInfo
  13:         14526        4346632  [I (java.base@21.0.12.1)
  14:         29671        4272624  net.minecraft.world.level.block.state.BlockState
  15:        131172        4197504  java.util.HashMap$Node (java.base@21.0.12.1)
  16:        162418        3898032  java.util.ArrayList (java.base@21.0.12.1)
  17:         31304        3723448  java.lang.Class (java.base@21.0.12.1)
  18:          8399        3682056  [Ljava.util.HashMap$Node; (java.base@21.0.12.1)
  19:        140047        3361128  java.util.BitSet (java.base@21.0.12.1)
  20:         72267        2890704  [Lnet.minecraft.world.phys.shapes.VoxelShape;
  21:         53701        2829952  [D (java.base@21.0.12.1)
  22:         87461        2798752  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.12.1)
  23:         29152        1865728  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap
  24:          9683        1821784  [Ljdk.internal.vm.FillerElement; (java.base@21.0.12.1)
  25:         36118        1444720  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap
  26:         32133        1285320  java.util.LinkedHashMap$Entry (java.base@21.0.12.1)
  27:          5551        1253072  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.12.1)
  28:         29798        1233448  [Z (java.base@21.0.12.1)
  29:         22701        1089648  java.lang.invoke.MemberName (java.base@21.0.12.1)
  30:         66621        1065936  net.minecraft.nbt.StringTag
  31:         28612         915584  net.minecraft.world.level.biome.Climate$Parameter
  32:         18326         733040  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@21.0.12.1)
  33:         22184         709888  com.mojang.datafixers.types.templates.Product$ProductType
  34:         29492         707808  net.minecraft.world.level.block.state.BlockBehaviour$BlockStateBase$Cache
  35:          9978         638592  java.util.LinkedHashMap (java.base@21.0.12.1)
  36:         17867         571744  com.mojang.datafixers.types.templates.Tag$TagType
  37:         35697         571152  java.lang.Object (java.base@21.0.12.1)
  38:         17543         561376  com.mojang.datafixers.types.templates.Sum$SumType
  39:         13765         550600  java.lang.invoke.MethodType (java.base@21.0.12.1)
  40:         33321         533136  com.mojang.datafixers.types.templates.Const
  41:         21559         517416  java.util.ImmutableCollections$List12 (java.base@21.0.12.1)
  42:         10773         517104  it.unimi.dsi.fastutil.objects.ReferenceOpenHashSet
  43:         16158         517056  java.util.ImmutableCollections$MapN (java.base@21.0.12.1)
  44:          1367         473120  [C (java.base@21.0.12.1)
  45:         14583         466656  com.mojang.datafixers.types.templates.Named$NamedType
  46:         28866         461856  net.minecraft.nbt.CompoundTag
  47:         13781         440992  jdk.internal.util.WeakReferenceKey (java.base@21.0.12.1)
  48:          9118         437664  [Lnet.minecraft.world.level.biome.Climate$Parameter;
  49:         18187         436488  net.minecraft.resources.ResourceLocation
  50:         10589         423560  java.lang.invoke.BoundMethodHandle$Species_L (java.base@21.0.12.1)
  51:          6372         407808  java.util.concurrent.ConcurrentHashMap (java.base@21.0.12.1)
  52:         16848         404352  org.bukkit.craftbukkit.block.impl.CraftWall
  53:          4386         385968  java.lang.reflect.Method (java.base@21.0.12.1)
  54:          9629         385160  java.lang.invoke.DirectMethodHandle (java.base@21.0.12.1)
  55:         15435         370440  java.lang.invoke.ResolvedMethodName (java.base@21.0.12.1)
  56:         12982         367096  [Ljava.lang.Class; (java.base@21.0.12.1)
  57:          7604         364992  net.minecraft.world.level.biome.Climate$ParameterPoint
  58:         14519         348456  com.mojang.datafixers.types.templates.Sum
  59:         14447         346728  com.google.common.collect.ImmutableMapEntry
  60:         10794         345408  com.google.common.collect.MapMakerInternalMap$WeakValueReferenceImpl
  61:           717         341704  [F (java.base@21.0.12.1)
  62:         13625         327000  com.mojang.datafixers.types.templates.Product
  63:         13354         320496  com.mojang.datafixers.types.templates.Tag
  64:          7549         301960  org.yaml.snakeyaml.error.Mark
  65:          9196         294272  net.minecraft.core.Holder$Reference
  66:            69         277264  [Lca.spottedleaf.concurrentutil.map.ConcurrentLong2ReferenceChainedHashTable$TableEntry;
  67:         16321         261136  java.util.Optional (java.base@21.0.12.1)
  68:         10794         259056  net.minecraft.resources.ResourceKey
  69:         10794         259056  net.minecraft.resources.ResourceKey$InternKey
  70:          7639         244448  com.mojang.serialization.MapCodec$2
  71:          7575         242400  io.papermc.paper.util.ObfHelper$ClassMapping
  72:          2965         237200  ca.spottedleaf.moonrise.common.time.TickTime
  73:          3692         236288  org.yaml.snakeyaml.nodes.ScalarNode
  74:          9305         223320  org.bukkit.NamespacedKey
  75:          9267         222408  java.util.ImmutableCollections$ListN (java.base@21.0.12.1)
  76:          4588         220224  java.lang.invoke.DirectMethodHandle$Constructor (java.base@21.0.12.1)
  77:          4505         216240  java.util.HashMap (java.base@21.0.12.1)
  78:          8861         212664  com.mojang.datafixers.util.Pair
  79:          8757         210168  com.mojang.datafixers.schemas.Schema$$Lambda/0x00007f91d869dbe8
  80:         13018         208288  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet
  81:          8640         207360  org.bukkit.craftbukkit.block.impl.CraftStair
  82:          8400         201600  com.google.common.base.Suppliers$NonSerializableMemoizingSupplier
  83:          1443         200944  [Lcom.google.common.collect.ImmutableMapEntry;
  84:          7913         189912  com.google.common.collect.MapMakerInternalMap$StrongKeyWeakValueEntry
  85:          7598         182352  net.minecraft.world.level.biome.Climate$RTree$Leaf
  86:          4397         175880  java.math.BigDecimal (java.base@21.0.12.1)
  87:          4341         173640  java.math.BigInteger (java.base@21.0.12.1)
  88:          7183         172392  com.mojang.serialization.Dynamic
  89:          4115         164600  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@21.0.12.1)
  90:          5124         163968  java.lang.invoke.LambdaForm$Name (java.base@21.0.12.1)
  91:          2074         157624  [Ljava.lang.ref.SoftReference; (java.base@21.0.12.1)
  92:          9765         156240  com.mojang.datafixers.types.templates.RecursivePoint
  93:          2055         147960  java.lang.reflect.Constructor (java.base@21.0.12.1)
  94:          9197         147152  it.unimi.dsi.fastutil.objects.ReferenceSets$UnmodifiableSet
  95:          1171         139384  [Lnet.minecraft.world.level.block.state.StateHolder;
  96:          1917         138024  java.lang.reflect.Field (java.base@21.0.12.1)
  97:          4303         137696  com.mojang.datafixers.types.templates.CompoundList$CompoundListType
  98:          1166         130592  net.minecraft.world.level.block.state.BlockBehaviour$Properties
  99:          2325         130200  net.minecraft.world.level.storage.loot.entries.LootItem
 100:          5379         129096  com.mojang.datafixers.types.templates.List$ListType
 101:          5260         126240  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry
 102:          5247         125928  net.minecraft.core.HolderSet$Direct
 103:          2228         124768  net.minecraft.world.entity.ai.attributes.AttributeInstance
 104:          5153         123672  com.mojang.serialization.codecs.RecordCodecBuilder
 105:          2104         117824  org.bukkit.Material
 106:          2925         117000  java.util.TreeMap$Entry (java.base@21.0.12.1)
 107:          7312         116992  net.minecraft.world.item.crafting.display.SlotDisplay$ItemSlotDisplay
 108:          4144         116792  [Lnet.minecraft.util.parsing.packrat.Term;
 109:          2824         112960  java.lang.ref.SoftReference (java.base@21.0.12.1)
 110:          4696         112704  java.util.Collections$UnmodifiableRandomAccessList (java.base@21.0.12.1)
 111:          2790         111600  com.mojang.datafixers.types.templates.RecursivePoint$RecursivePointType
 112:          6956         111296  ca.spottedleaf.dataconverter.types.nbt.NBTMapType
 113:          2724         108960  java.util.EnumMap (java.base@21.0.12.1)
 114:          1493          95552  it.unimi.dsi.fastutil.ints.Int2ObjectOpenHashMap
 115:          1493          95552  it.unimi.dsi.fastutil.objects.Reference2ObjectOpenHashMap
 116:          2902          92864  java.util.ImmutableCollections$Map1 (java.base@21.0.12.1)
 117:          2881          92192  com.google.common.collect.MapMakerInternalMap$StrongKeyWeakValueEntry$LinkedStrongKeyWeakValueEntry
 118:          3829          91896  com.mojang.serialization.Codec$$Lambda/0x00007f91d81baee8
 119:          3829          91896  com.mojang.serialization.codecs.FieldDecoder
 120:          3829          91896  com.mojang.serialization.codecs.FieldEncoder
 121:          2809          89888  net.minecraft.network.chat.MutableComponent
 122:          2803          89696  java.util.concurrent.atomic.LongAdder (java.base@21.0.12.1)
 123:          3582          85968  net.minecraft.util.parsing.packrat.DelayedException$$Lambda/0x00007f91d85d5b38
 124:          2682          85824  me.lucko.spark.paper.common.sampler.node.StackTraceNode$AsyncDescription
 125:          3489          83736  com.mojang.datafixers.types.templates.Named
 126:          2090          83600  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21.0.12.1)
 127:          3437          82488  net.minecraft.advancements.Criterion
 128:          2017          80680  net.minecraft.world.item.ItemStack
 129:          1990          79600  ca.spottedleaf.moonrise.patches.blockstate_propertyaccess.util.ZeroCollidingReferenceStateTable$Indexer
 130:          2421          77472  net.minecraft.network.chat.contents.TranslatableContents
 131:          4838          77408  net.minecraft.world.item.crafting.display.SlotDisplay$Composite
 132:          1070          77040  com.mojang.brigadier.tree.LiteralCommandNode
 133:          2093          76776  [Ljava.lang.String; (java.base@21.0.12.1)
 134:          1060          76320  com.mojang.brigadier.tree.ArgumentCommandNode
 135:          4650          74400  net.minecraft.world.level.storage.loot.providers.number.ConstantValue
 136:          1462          70176  com.google.common.collect.LinkedHashMultimap$ValueEntry
 137:          1198          67408  [Ljava.lang.invoke.LambdaForm$Name; (java.base@21.0.12.1)
 138:          2790          66960  com.mojang.datafixers.types.families.RecursiveTypeFamily$$Lambda/0x00007f91d86b8e60
 139:          4103          65648  com.mojang.datafixers.types.templates.List
 140:          2682          64368  me.lucko.spark.paper.common.sampler.node.StackTraceNode
 141:          4005          64080  java.lang.Integer (java.base@21.0.12.1)
 142:          2648          63552  com.mojang.serialization.MapDecoder$4
 143:          2632          63168  net.minecraft.util.parsing.packrat.Dictionary$Reference
 144:          1574          62960  net.minecraft.advancements.Advancement
 145:          2592          62208  org.bukkit.craftbukkit.block.impl.CraftRedStoneWire
 146:          1520          60792  [Lnet.minecraft.world.level.biome.Climate$RTree$Node;
 147:          2503          60072  com.mojang.serialization.MapEncoder$1
 148:          2477          59448  org.bukkit.configuration.SectionPathData
 149:          2449          58776  net.minecraft.world.item.crafting.Ingredient
 150:          2417          58008  net.minecraft.world.level.storage.loot.entries.LootPoolSingletonContainer$1
 151:          1448          57920  net.minecraft.world.level.storage.loot.LootPool
 152:          2393          57432  com.mojang.serialization.Decoder$5
 153:          1193          57264  java.lang.invoke.LambdaForm (java.base@21.0.12.1)
 154:          2385          57240  net.minecraft.util.parsing.packrat.commands.StringReaderTerms$1
 155:          2347          56328  net.minecraft.advancements.critereon.DataComponentMatchers
 156:          2300          55200  org.bukkit.craftbukkit.block.impl.CraftNoteBlock
 157:          3426          54816  net.minecraft.util.parsing.packrat.commands.StringReaderTerms$TerminalCharacters$$Lambda/0x00007f91d85d6160
 158:           850          54400  java.lang.Class$ReflectionData (java.base@21.0.12.1)
 159:          2228          53472  net.minecraft.world.entity.ai.attributes.AttributeSupplier$Builder$$Lambda/0x00007f91d8c6a4e8
 160:          1324          52960  net.minecraft.world.level.storage.loot.LootTable
 161:          2176          52224  org.bukkit.craftbukkit.block.impl.CraftDoor
 162:          2176          52224  org.bukkit.craftbukkit.block.impl.CraftTrapDoor
 163:          3217          51472  net.minecraft.util.parsing.packrat.Term$Sequence
 164:          1060          50880  java.lang.invoke.DirectMethodHandle$Accessor (java.base@21.0.12.1)
 165:           626          50816  [Ljava.util.WeakHashMap$Entry; (java.base@21.0.12.1)
 166:          2108          50592  com.mojang.serialization.MapCodec$4
 167:           883          49448  java.lang.invoke.DirectMethodHandle$StaticAccessor (java.base@21.0.12.1)
 168:             3          49200  [Lnet.minecraft.world.level.pathfinder.PathType;
 169:          2017          48408  net.minecraft.core.component.PatchedDataComponentMap
 170:          1992          47808  com.mojang.serialization.codecs.PairMapCodec
 171:          1990          47760  com.mojang.serialization.MapCodec$6
 172:          1990          47760  net.minecraft.world.level.block.state.StateDefinition$$Lambda/0x00007f91d84018d8
 173:          1473          47136  net.minecraft.advancements.AdvancementRewards
 174:          1937          46488  net.minecraft.advancements.critereon.ItemPredicate
 175:          1450          46400  net.minecraft.world.item.crafting.display.RecipeDisplayEntry
 176:          1441          46112  sun.security.util.ObjectIdentifier (java.base@21.0.12.1)
 177:          1803          43272  net.minecraft.util.parsing.packrat.Dictionary$Entry
 178:           199          43176  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.12.1)
 179:          2691          43056  com.mojang.serialization.codecs.RecordCodecBuilder$$Lambda/0x00007f91d81bb658
 180:          1771          42504  net.minecraft.sounds.SoundEvent
 181:          1771          42504  org.bukkit.craftbukkit.CraftSound
 182:          1290          41280  java.lang.invoke.MethodTypeForm (java.base@21.0.12.1)
 183:          2503          40048  com.mojang.serialization.MapCodec$$Lambda/0x00007f91d81e93e8
 184:          1612          38688  net.minecraft.util.parsing.packrat.Term$Marker
 185:          1611          38664  net.minecraft.advancements.critereon.InventoryChangeTrigger$TriggerInstance
 186:          2385          38160  it.unimi.dsi.fastutil.chars.CharLists$Singleton
 187:          1574          37776  net.minecraft.advancements.AdvancementHolder
 188:          1574          37776  net.minecraft.advancements.AdvancementNode
 189:          2352          37632  com.google.common.collect.RegularImmutableList
 190:          1536          36864  org.bukkit.craftbukkit.block.impl.CraftCeilingHangingSign
 191:          1536          36864  org.bukkit.craftbukkit.block.impl.CraftShelf
 192:          1150          36800  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@21.0.12.1)
 193:          1520          36480  net.minecraft.world.level.biome.Climate$RTree$SubTree
 194:           907          36280  net.minecraft.world.item.BlockItem
 195:          1510          36240  com.mojang.serialization.Codec$2
 196:          1488          35712  org.bukkit.craftbukkit.inventory.CraftItemType
 197:          1461          35064  net.minecraft.world.item.crafting.RecipeHolder
 198:          1450          34800  net.minecraft.world.item.crafting.PlacementInfo
 199:          1450          34800  net.minecraft.world.item.crafting.RecipeManager$ServerDisplayInfo
 200:          1449          34776  net.minecraft.advancements.critereon.RecipeUnlockedTrigger$TriggerInstance
 201:           867          34680  sun.security.util.DerInputStream (java.base@21.0.12.1)
 202:          1063          34016  java.util.Locale (java.base@21.0.12.1)
 203:          1063          34016  sun.util.locale.BaseLocale (java.base@21.0.12.1)
 204:          2104          33664  org.bukkit.Material$$Lambda/0x00007f91d89a0d28
 205:          2104          33664  org.bukkit.Material$$Lambda/0x00007f91d89a0f68
 206:          1044          33408  sun.util.locale.BaseLocale$Key (java.base@21.0.12.1)
 207:          1380          33120  jdk.jfr.AnnotationElement (jdk.jfr@21.0.12.1)
 208:           684          32832  java.lang.invoke.MethodHandleImpl$CountingWrapper (java.base@21.0.12.1)
 209:             2          32800  [Lca.spottedleaf.dataconverter.types.MapType;
 210:          2011          32176  net.minecraft.util.parsing.packrat.Atom
 211:          1990          31840  com.mojang.datafixers.DataFixUtils$$Lambda/0x00007f91d8401d08
 212:          1990          31840  net.minecraft.world.level.block.state.StateDefinition$$Lambda/0x00007f91d84023e0
 213:          1990          31840  net.minecraft.world.level.block.state.StateDefinition$$Lambda/0x00007f91d8402628
 214:          1320          31680  org.bukkit.craftbukkit.CraftLootTable
 215:          1318          31632  jdk.jfr.internal.AnnotationConstruct (jdk.jfr@21.0.12.1)
 216:           786          31440  com.google.common.collect.RegularImmutableMap
 217:          1307          31368  com.mojang.serialization.MapCodec$$Lambda/0x00007f91d81b3908
 218:           782          31280  com.google.common.collect.ImmutableSortedMap
 219:          1286          30864  java.util.LinkedHashMap$LinkedEntrySet (java.base@21.0.12.1)
 220:          1272          30528  java.lang.invoke.LambdaForm$NamedFunction (java.base@21.0.12.1)
 221:          1265          30360  net.minecraft.util.random.Weighted
 222:          1259          30216  net.minecraft.util.parsing.packrat.Rule$WrappedTerm
 223:           619          29712  java.util.WeakHashMap (java.base@21.0.12.1)
 224:           623          29648  [Ljava.lang.reflect.Method; (java.base@21.0.12.1)
 225:          1222          29328  com.mojang.datafixers.util.Either$Left
 226:           609          29232  com.google.common.collect.SingletonImmutableBiMap
 227:           730          29200  jdk.jfr.ValueDescriptor (jdk.jfr@21.0.12.1)
 228:           362          28960  net.minecraft.advancements.critereon.EntityPredicate
 229:             8          28800  [Ljava.nio.ByteBuffer; (java.base@21.0.12.1)
 230:           898          28736  java.lang.Package (java.base@21.0.12.1)
 231:           511          28616  net.minecraft.network.chat.Style
 232:          1171          28104  ca.spottedleaf.moonrise.patches.blockstate_propertyaccess.util.ZeroCollidingReferenceStateTable
 233:          1171          28104  it.unimi.dsi.fastutil.objects.ReferenceArrayList
 234:          1171          28104  net.minecraft.world.level.block.state.StateDefinition
 235:          1171          28104  net.minecraft.world.level.block.state.StateDefinition$$Lambda/0x00007f91d83ef278
