# Huge-method scan: /home/z/server/versions/1.21.10/purpur-1.21.10.jar
# limit: Code.length > 8000 bytecodes (HotSpot HugeMethodLimit default)
# total .class parsed: 9809; huge methods found: 16

code_len	class	method	descriptor
58769	net.minecraft.util.datafix.fixes.BlockStateData	bootstrap3_2	()V
57432	ca.spottedleaf.dataconverter.minecraft.converters.helpers.HelperBlockFlatteningV1450	<clinit>	()V
40203	net.minecraft.world.level.block.Blocks	<clinit>	()V
28997	net.minecraft.data.recipes.packs.VanillaRecipeProvider	buildRecipes	()V
26091	net.minecraft.util.datafix.fixes.BlockStateData	bootstrap3_1	()V
24213	net.minecraft.util.datafix.fixes.BlockStateData	bootstrap8	()V
23526	net.minecraft.world.item.Items	<clinit>	()V
16150	net.minecraft.util.datafix.fixes.BlockStateData	bootstrapA	()V
15502	net.minecraft.sounds.SoundEvents	<clinit>	()V
11464	net.minecraft.util.datafix.DataFixers	addFixers	(Lcom/mojang/datafixers/DataFixerBuilder;)V
11258	net.minecraft.data.loot.packs.VanillaChestLoot	generate	(Ljava/util/function/BiConsumer;)V
11096	net.minecraft.data.tags.VanillaBlockTagsProvider	addTags	(Lnet/minecraft/core/HolderLookup$Provider;)V
9905	net.minecraft.data.loot.packs.VanillaBlockLoot	generate	()V
9375	net.minecraft.util.datafix.fixes.BlockStateData	bootstrapC	()V
9340	net.minecraft.util.datafix.fixes.BlockStateData	<clinit>	()V
8442	net.minecraft.util.datafix.fixes.BlockStateData	bootstrap6	()V
