# FULL-JAR scan: HUGE + NEAR_HUGE bands (TASK-85 covered only HUGE)
# jar: /home/z/server/versions/1.21.10/purpur-1.21.10.jar
# classes parsed: 9809; methods >= 2000B: 36

band	code_len	class	method	descriptor	hot	decision
HUGE	58769	net.minecraft.util.datafix.fixes.BlockStateData	bootstrap3_2	()V	-	NO-ACTION
HUGE	57432	ca.spottedleaf.dataconverter.minecraft.converters.helpers.HelperBlockFlatteningV1450	<clinit>	()V	-	NO-ACTION
HUGE	40203	net.minecraft.world.level.block.Blocks	<clinit>	()V	-	NO-ACTION
HUGE	28997	net.minecraft.data.recipes.packs.VanillaRecipeProvider	buildRecipes	()V	-	NO-ACTION
HUGE	26091	net.minecraft.util.datafix.fixes.BlockStateData	bootstrap3_1	()V	-	NO-ACTION
HUGE	24213	net.minecraft.util.datafix.fixes.BlockStateData	bootstrap8	()V	-	NO-ACTION
HUGE	23526	net.minecraft.world.item.Items	<clinit>	()V	-	NO-ACTION
HUGE	16150	net.minecraft.util.datafix.fixes.BlockStateData	bootstrapA	()V	-	NO-ACTION
HUGE	15502	net.minecraft.sounds.SoundEvents	<clinit>	()V	-	NO-ACTION
HUGE	11464	net.minecraft.util.datafix.DataFixers	addFixers	(Lcom/mojang/datafixers/DataFixerBuilder;)V	-	NO-ACTION
HUGE	11258	net.minecraft.data.loot.packs.VanillaChestLoot	generate	(Ljava/util/function/BiConsumer;)V	-	NO-ACTION
HUGE	11096	net.minecraft.data.tags.VanillaBlockTagsProvider	addTags	(Lnet/minecraft/core/HolderLookup$Provider;)V	-	NO-ACTION
HUGE	9905	net.minecraft.data.loot.packs.VanillaBlockLoot	generate	()V	-	NO-ACTION
HUGE	9375	net.minecraft.util.datafix.fixes.BlockStateData	bootstrapC	()V	-	NO-ACTION
HUGE	9340	net.minecraft.util.datafix.fixes.BlockStateData	<clinit>	()V	-	NO-ACTION
HUGE	8442	net.minecraft.util.datafix.fixes.BlockStateData	bootstrap6	()V	-	NO-ACTION
NEAR_HUGE	7408	net.minecraft.world.entity.EntityType	<clinit>	()V	-	NO-ACTION
NEAR_HUGE	7093	net.minecraft.world.entity.npc.VillagerTrades	lambda$static$0	(Ljava/util/HashMap;)V	-	NO-ACTION
NEAR_HUGE	6803	org.purpurmc.purpur.PurpurWorldConfig	toolSettings	()V	-	NO-ACTION
NEAR_HUGE	6612	net.minecraft.util.datafix.fixes.BlockStateData	bootstrap9	()V	-	NO-ACTION
NEAR_HUGE	6540	net.minecraft.util.datafix.fixes.BlockStateData	bootstrapB	()V	-	NO-ACTION
NEAR_HUGE	5903	net.minecraft.data.loot.packs.VanillaEntityLoot	generate	()V	-	NO-ACTION
NEAR_HUGE	5804	org.purpurmc.purpur.PurpurWorldConfig	<init>	(Ljava/lang/String;Lorg/bukkit/World$Environment;)V	-	NO-ACTION
NEAR_HUGE	5781	net.minecraft.util.datafix.fixes.BlockStateData	bootstrap5	()V	-	NO-ACTION
NEAR_HUGE	5579	net.minecraft.data.worldgen.ProcessorLists	bootstrap	(Lnet/minecraft/data/worldgen/BootstrapContext;)V	-	NO-ACTION
NEAR_HUGE	5470	net.minecraft.util.datafix.fixes.BlockStateData	bootstrap4	()V	-	NO-ACTION
NEAR_HUGE	5360	ca.spottedleaf.dataconverter.minecraft.converters.helpers.HelperItemNameV102	<clinit>	()V	-	NO-ACTION
NEAR_HUGE	5313	net.minecraft.data.tags.BlockItemTagsProvider	run	()V	-	NO-ACTION
NEAR_HUGE	5209	ca.spottedleaf.dataconverter.minecraft.converters.itemstack.ConverterFlattenItemStack	<clinit>	()V	-	NO-ACTION
NEAR_HUGE	4890	net.minecraft.world.item.enchantment.Enchantments	bootstrap	(Lnet/minecraft/data/worldgen/BootstrapContext;)V	-	NO-ACTION
NEAR_HUGE	4859	net.minecraft.data.tags.VanillaItemTagsProvider	addTags	(Lnet/minecraft/core/HolderLookup$Provider;)V	-	NO-ACTION
NEAR_HUGE	4613	net.minecraft.util.datafix.fixes.BlockStateData	bootstrap2	()V	-	NO-ACTION
NEAR_HUGE	4417	ca.spottedleaf.dataconverter.minecraft.converters.entity.ConverterFlattenEntity	<clinit>	()V	-	NO-ACTION
NEAR_HUGE	4296	net.minecraft.world.entity.npc.VillagerTrades	<clinit>	()V	-	NO-ACTION
NEAR_HUGE	4295	net.minecraft.util.datafix.fixes.BlockStateData	bootstrap1	()V	-	NO-ACTION
NEAR_HUGE	4243	org.bukkit.craftbukkit.entity.CraftEntityTypes	<clinit>	()V	-	NO-ACTION
