PaperNativeAquiferIndexStride	(I[J)I	newBatchSummary,oldBatchSummary
PaperNativeAquiferPositionalLocation	(I[I[I[IJJ[J)I	directBatchSummary,oldBatchSummary
PaperNativeAquiferSurfaceSampling	(I[J)I	newBatchSummary,oldBatchSummary
PaperNativeBlendedNoise	(I[J)I	cachedBatchSummary,oldBatchSummary
PaperNativeCaveCarverSkip	(I[D[D[D[D[J)I	directHelperSummary,oldLambdaSummary,reusedCheckerSummary
PaperNativeChunkDependencies	(I[J)I	arraySummary,oldImmutableListSummary
PaperNativeClimateParameterDistance	([J[J[J[J)I	branchDistanceSum,oldDistanceSum,subtractFirstDistanceSum
PaperNativeCubicSplineCreate	(I[F[F[J)I	indexSummary,oldIteratorSummary
PaperNativeDensityAp2Fill	(II[J)I	oldFlatSummary,oldNestedSummary,scratchFlatSummary,scratchNestedSummary
PaperNativeDensityAp2MinMaxFill	(III[J)I	newSummary,oldSummary
PaperNativeDensitySplineContext	(I[J)I	newDirectSummary,oldWrapperSummary
PaperNativeDensityVisitorHook	(III[J)I	hookedUnwrappingSummary,oldUnwrappingSummary
PaperNativeEntityBoundingBox	(I[F[F[D[D[D[J)I	directDimensionsSetSummary,oldMakeThenSetSummary
PaperNativeEntityChunkTransient	(IIJ[J)I	newMixedSummary,oldMixedSummary
PaperNativeEntityLookupStatus	(I[J)I	directAccessibleSummary,directStatusSummary,oldAccessibleSummary,oldStatusSummary
PaperNativeImprovedNoiseDerivative	([B[I[I[I[D[D[DI[J)I	flatGradientDerivativeSummary,inlineDerivativeSummary,intTableDerivativeSummary,oldDerivativeSummary
PaperNativeImprovedNoiseInline	([BI[J)I	arithmeticSummary,flatGradientSummary,inlineByteAccessSummary,oldPMethodSummary,switchGradientSummary
PaperNativeJigsawCanAttach	(I[I[I[I[I[Z[I[I[J)I	oldBatchSummary,optimizedBatchSummary,targetFirstBatchSummary
PaperNativeLegacyProvidedAliasRemoval	(I[Ljava/lang/Object;[Ljava/lang/Object;I[J)I	newReverseAliasRemoveSummary,oldValuesRemoveIfSummary
PaperNativeLevelChunkHeightmap	(I[J)I	newCombinedUpdateSummary,oldFourUpdateSummary
PaperNativeMarkerCache	(III[J)I	cachedSummary,oldSummary
PaperNativeNoiseChunkBlendCache	(II[J)I	newEmptyBlenderSummary,oldEmptyBlenderSummary
PaperNativeNoiseChunkFlatCacheContext	(II[J)I	newFalseContextSummary,newTrueContextSummary,oldFalseContextSummary,oldTrueContextSummary
PaperNativeNoiseInterpolatorSlice	(IIII[J)I	flatSummary,oldJaggedSummary
PaperNativeObfHelperMaps	([Ljava/lang/Object;[Ljava/lang/Object;[I[I[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[J)I	directMapsSummary,oldStreamDefaultSummary,presizedStringPoolSummary
PaperNativeOreFeatureLoop	([D[D[D[D[I[I[I[I[I[IIIIII[J)I	oldLoopSummary,optimizedLoopSummary
PaperNativeOwnableRule	(I[J)I	newLoopSummary,oldStreamSummary
PaperNativePalettedReencodeScratch	(I[J)I	directPackedSummary,oldNewArraySummary,scratchThreadLocalSummary
PaperNativePluginClassLoaderGroup	(I[Ljava/lang/Object;[IILjava/lang/String;[J)I	oldLookupSummary,skipRequesterSummary
PaperNativePluginDirectoryScan	(ILjava/lang/String;[J)I	directoryStreamSummary,newListSummary,oldWalkDepth1Summary
PaperNativePluginLoadingAllocation	(I[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;I[J)I	newLazyMissingSetSummary,newLazyValidateSummary,newPresizedSetupSummary,oldDefaultCapacitySetupSummary,oldEagerMissingSetSummary,oldEagerValidateSummary
PaperNativePluginMetaDependency	(I[Ljava/lang/Object;[Z[Z[I[J)I	cachedSummary,newLoopSummary,oldStreamSummary
PaperNativePluginNameLog	(I[Ljava/lang/Object;[Ljava/lang/Object;[J)I	newArrayListSortSummary,oldTreesetSummary
PaperNativePluginStartupRollup	(I[Ljava/lang/Object;Ljava/lang/String;[Ljava/lang/Object;[Ljava/lang/Object;[J)I	newSummary,oldSummary
PaperNativeProtoChunkHeightmap	(I)J	newCachedContainsSummary,oldEnumSetForeachSummary
PaperNativeRangeChoice	([D[I[I[II[J)I	oldFillArraySummary,optimizedFillArraySummary
PaperNativeRemapperIndexCleanup	(I[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[J)I	newLazyCleanupSummary,oldEagerCleanupSummary
PaperNativeRemapperSkipHashes	(ILjava/lang/String;[J)I	newLoopSummary,oldStreamSummary
PaperNativeServerEntityDeltaIdentity	(I[D[D[D[D[D[D[J)I	oldDistanceSummary
PaperNativeSpigotLoadOrderDependency	(I[Ljava/lang/Object;[J)I	newLoadAfterBuildSummary,oldLoadAfterBuildSummary
PaperNativeSpigotLoadOrderDependency	(I[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;I[J)I	newRemovedCountSummary,oldRemovedCountSummary
PaperNativeSpringFeatureMutablePos	(I[I[I[I[Z[I[I[J)I	mutableBatchSummary,oldBatchSummary
PaperNativeStaticCacheGet	(IIIII[I[J)I	newBatchSummary,oldBatchSummary
PaperNativeSurfaceRulesTestRuleState	(II[J)I	newStateRuleSummary,oldStateRuleSummary
PaperNativeTopographicGraphSortCapacity	(I[I[I[I[J)I	newPresizedSummary,oldDefaultCapacitySummary
PaperNativeWaypointDistanceGuard	(I[D[D[D[D[D[D[D[J)I	guardedAtOrBeyondRangeSummary,oldAtOrBeyondRangeSummary
PaperNativeWaypointDistanceGuard	(I[D[D[D[D[D[D[J)I	guardedReallyFarSummary,oldReallyFarSummary
PaperNativeWaypointHotPath	(I)D	cachedChunkVisibleValue,directAzimuthValue,guardedAtOrBeyondRangeValue,guardedReallyFarValue,oldAtOrBeyondRangeValue,oldAzimuthValue,oldChunkVisibleValue,oldReallyFarValue,oldWaypointManagerValue,optimizedWaypointManagerValue
PaperNativeXoroshiroPositionalDirect	(I[I[I[IJJ[J)I	directDoubleBatchSummary,directFloatBatchSummary,oldDoubleBatchSummary,oldFloatBatchSummary
