frame	samples	share_of_server_thread
Brain.tick (umbrella)	93	8.74
GoalSelector.tick	90	8.46
WrappedGoal.tick / Goal.tick	63	5.92
Behavior/Brain scheduler	55	5.17
PalettedContainer.get (block read)	37	3.48
EntityGetter.getEntitiesOfClass (grid)	33	3.10
Entity.baseTick (umbrella)	32	3.01
Entity.move	29	2.73
ItemEntity.tick	26	2.44
Sensor.doTick (any sensor)	23	2.16
Entity.updateFluidHeightAndDoFluidPushing	23	2.16
Brain.forgetOutdatedMemories	15	1.41
LivingEntity.tick (umbrella)	15	1.41
Entity.checkInsideBlocks	14	1.32
NearestLivingEntitySensor.doTick	7	0.66
CollisionGetter.noCollision	5	0.47
Entity.isInWall	3	0.28
EntitySelector / Predicate	0	0.00
