layer	mode	gid	class	alt_kernel	paired_old	p500v2_ratio	remap_lines_total	class_remap	bootstrap_probes	alt_ns_op	old_ns_op	run_rc
agent	default	19	PaperNativeLevelChunkHeightmap	newCombinedUpdateSummary	oldFourUpdateSummary	5.70	0	0	4	793346.2	159443.7	0
agent	pref-old	19	PaperNativeLevelChunkHeightmap	newCombinedUpdateSummary	oldFourUpdateSummary	5.70	4	1	4	160172.2	159979.1	0
agent	default	20	PaperNativeMarkerCache	cachedSummary	oldSummary	4.54	0	0	4	35000.1	7889.1	0
agent	pref-old	20	PaperNativeMarkerCache	cachedSummary	oldSummary	4.54	4	1	4	7876.5	7927.2	0
agent	default	27	PaperNativePalettedReencodeScratch	directPackedSummary	oldNewArraySummary	2.35	0	0	4	71140.5	31310.6	0
agent	pref-old	27	PaperNativePalettedReencodeScratch	directPackedSummary	oldNewArraySummary	2.35	4	1	4	30783.8	31093.0	0
agent	default	34	PaperNativeProtoChunkHeightmap	newCachedContainsSummary	oldEnumSetForeachSummary	1.78	0	0	4	138.4	78.5	0
agent	pref-old	34	PaperNativeProtoChunkHeightmap	newCachedContainsSummary	oldEnumSetForeachSummary	1.78	4	1	4	77.7	78.1	0
plain	default	19	PaperNativeLevelChunkHeightmap	newCombinedUpdateSummary	oldFourUpdateSummary	5.70	0	0	0	795427.2	159480.5	0
plain	pref-old	19	PaperNativeLevelChunkHeightmap	newCombinedUpdateSummary	oldFourUpdateSummary	5.70	0	0	0	794185.1	160204.1	0
plain	default	20	PaperNativeMarkerCache	cachedSummary	oldSummary	4.54	0	0	0	35599.3	12276.5	0
plain	pref-old	20	PaperNativeMarkerCache	cachedSummary	oldSummary	4.54	0	0	0	35023.6	7918.8	0
plain	default	27	PaperNativePalettedReencodeScratch	directPackedSummary	oldNewArraySummary	2.35	0	0	0	71430.4	30799.5	0
plain	pref-old	27	PaperNativePalettedReencodeScratch	directPackedSummary	oldNewArraySummary	2.35	0	0	0	71367.1	30940.4	0
plain	default	34	PaperNativeProtoChunkHeightmap	newCachedContainsSummary	oldEnumSetForeachSummary	1.78	0	0	0	136.7	78.0	0
plain	pref-old	34	PaperNativeProtoChunkHeightmap	newCachedContainsSummary	oldEnumSetForeachSummary	1.78	0	0	0	137.0	78.5	0
