# P500 expected summary — written by aggregate_p500.py --write-expected
# Regenerate after an intentional re-run: aggregate_p500.py <tsv> --write-expected <path>
# --check re-derives from the raw TSV and diffs against this file; any drift exits 1.
COUNTS	groups=49	rows_raw=185	kernels=129	variants=56	pairs=70	unpaired=1	multi=9	notes=70
KERNEL	0	PaperNativeAquiferIndexStride	(I[J)I	newBatchSummary	alt	9917.9000	9917.9000	9917.9000	OK s0
KERNEL	0	PaperNativeAquiferIndexStride	(I[J)I	oldBatchSummary	old	10625.4000	10625.4000	10625.4000	OK s0
KERNEL	1	PaperNativeAquiferPositionalLocation	(I[I[I[IJJ[J)I	directBatchSummary	alt	2199.6000	2199.6000	2199.6000	OK s0
KERNEL	1	PaperNativeAquiferPositionalLocation	(I[I[I[IJJ[J)I	oldBatchSummary	old	2214.7000	2214.7000	2214.7000	OK s0
KERNEL	2	PaperNativeAquiferSurfaceSampling	(I[J)I	newBatchSummary	alt	5471.3000	5471.3000	5471.3000	OK s0
KERNEL	2	PaperNativeAquiferSurfaceSampling	(I[J)I	oldBatchSummary	old	6039.4000	6039.4000	6039.4000	OK s0
KERNEL	3	PaperNativeBlendedNoise	(I[J)I	cachedBatchSummary	alt	50865.8000	50865.8000	50865.8000	OK s0
KERNEL	3	PaperNativeBlendedNoise	(I[J)I	oldBatchSummary	old	51879.4000	51879.4000	51879.4000	OK s0
KERNEL	4	PaperNativeCaveCarverSkip	(I[D[D[D[D[J)I	directHelperSummary	alt	34213091.8000	34213091.8000	34213091.8000	OK s0
KERNEL	4	PaperNativeCaveCarverSkip	(I[D[D[D[D[J)I	oldLambdaSummary	old	34649782.5000	34649782.5000	34649782.5000	OK s0
KERNEL	4	PaperNativeCaveCarverSkip	(I[D[D[D[D[J)I	reusedCheckerSummary	alt	34544004.3000	34544004.3000	34544004.3000	OK s0
KERNEL	5	PaperNativeChunkDependencies	(I[J)I	arraySummary	alt	1105.3000	1105.3000	1105.3000	OK s0
KERNEL	5	PaperNativeChunkDependencies	(I[J)I	oldImmutableListSummary	old	1137.2000	1137.2000	1137.2000	OK s0
KERNEL	6	PaperNativeClimateParameterDistance	([J[J[J[J)I	branchDistanceSum	alt	526.8000	526.8000	526.8000	OK s0
KERNEL	6	PaperNativeClimateParameterDistance	([J[J[J[J)I	oldDistanceSum	old	522.8000	522.8000	522.8000	OK s0
KERNEL	6	PaperNativeClimateParameterDistance	([J[J[J[J)I	subtractFirstDistanceSum	alt	525.3000	525.3000	525.3000	OK s0
KERNEL	7	PaperNativeCubicSplineCreate	(I[F[F[J)I	indexSummary	alt	153471.5000	153471.5000	153471.5000	OK s0
KERNEL	7	PaperNativeCubicSplineCreate	(I[F[F[J)I	oldIteratorSummary	old	153286.5000	153286.5000	153286.5000	OK s0
