PaperNativeBeardifierBury	(I[D[D[D[J)I	currentBatchSummary,optimizedBatchSummary
PaperNativeBiomeGetBiome	(I[J[I[I[I[J)I	currentBatchSummary,optimizedBatchSummary
PaperNativeCarverIteration	(I[I[I[J)I	foreachSummary,indexedSummary
PaperNativeChunkExpireCount	(IIII[J)I	hotSummary
PaperNativeChunkExpireCount	(III[J)I	coldSummary
PaperNativeChunkTicketStage	([J[J[B[JII[J)I	runBatch
PaperNativeCompressionThresholdShape	([I[II[J)I	thresholdSummary
PaperNativeCraftPlayerCanSee	(I[J)I	emptyCandidateSummary,emptyChunkMapCandidateSummary,emptyCurrentSummary,emptyGuardedSummary,populatedCandidateSummary,populatedChunkMapCandidateSummary,populatedCurrentSummary,populatedGuardedSummary
PaperNativeDeflaterInputShape	([B[I[II[J)I	copiedSummary,sliceSummary
PaperNativeHash	([B[B)I	sha256Digest
PaperNativeHashPath	([Ljava/lang/Object;I[J)I	streamingSummary
PaperNativeHashPath	([Ljava/lang/Object;[J)I	readAllSummary
PaperNativeImprovedNoiseFloor	([BI[J)I	currentMthFloorSummary,mathFloorSummary
PaperNativeLz4	([BI[B)I	lz4BlockCompress
PaperNativeLz4	([B[B)I	lz4BlockDecompress
PaperNativeLz4StreamRoundtrip	([BII[J)I	roundtripSummary
PaperNativeNbtCompoundMapCapacity	([B[I[II[J)I	parseCapacitySummary
PaperNativeNbtGzipBufferShape	([IIII[J)I	shapeSummary
PaperNativeNearbyPlayerMap	(II[J)I	defaultCapacitySummary,presizedCapacitySummary
PaperNativeNoiseChunkInterpolatorArray	(IIII[J)I	arraySummary,indexedListSummary,listSummary
PaperNativeNoiseGeneratorSettings	([I[I[II[I)I	cachedIntSettings,holderValueSettings,lazyPrimitiveSettings,manualLazyObjectSettings,memoizedSupplierSettings
PaperNativePalettedReencodeRemapCache	(I[J)I	cachedPaletteIdsSummary,currentPreviousOnlySummary
PaperNativePerlinGetValue	([B[B[D[D[D[D[DDDII[J)I	getValueVariantBatchSummary
PaperNativePlacedFeatureTraversal	(JI[J)I	recursiveSummary
PaperNativePluginNameJoin	(I[Ljava/lang/Object;Ljava/lang/String;[J)I	manualJoinSummary,stringJoinSummary
PaperNativeRemapperHashThreshold	(I[Ljava/lang/Object;[J)I	computeIfAbsentSummary,hybridSummary,parallelSummary,putSummary
PaperNativeShiftNoiseDirect	(I[I[I[I[J)I	currentASummary,currentBSummary,currentDefaultSummary,directASummary,directBSummary,directDefaultSummary
PaperNativeSurfaceRulesSequenceArray	(II[J)I	arrayForeachSummary,arrayIndexedSummary,listEnhancedSummary,listIndexedSummary
PaperNativeTicketCompare	([I[J[B[I[I[II[J)I	compareIndexedBatch
PaperNativeTicketPack	([J[B[III[J)I	packSummary
PaperNativeWaypointChunkUpdate	(I[J)I	distanceSummary,longKeySummary
PaperNativeWaypointManagerSkip	(I[J)I	currentPlayerFullSummary,currentPlayerPartialSummary,currentWaypointFullSummary,currentWaypointPartialSummary,skipPlayerFullSummary,skipPlayerPartialSummary,skipWaypointFullSummary,skipWaypointPartialSummary
PaperNativeWaypointSnapshot	(I[J)I	manualSummary,sizedArraySummary,toArraySummary
PaperNativeWaypointTableView	(I[J)I	columnSummary,transposeRowSummary
PaperNativeYClampedGradient	(I[I[I[I[D[D[J)I	currentBatchSummary,optimizedBatchSummary
net.minecraft.network.protocol.game.PaperNativeChunkPacketEncode	(I[S[B[I[BI[I[JI[B[I[BI[I[JI[BI)I	nativeEncodeSectionDataSized
net.minecraft.network.protocol.game.PaperNativeChunkPacketEncode	([J[J[J[J[BI[BI[B)I	nativeEncodeLightData
net.minecraft.network.protocol.game.PaperNativeChunkPacketEncode	([S[B[I[B[I[J[B[I[B[I[J[B)I	nativeEncodeSectionData
net.minecraft.world.level.biome.PaperNativeClimate	([J[J[J[I[J)I	nodeBestMatchUniqueBatch
net.minecraft.world.level.biome.PaperNativeClimateRTree	(J)J	nativeChecksumTreeHandle
net.minecraft.world.level.biome.PaperNativeClimateRTree	(J)V	nativeFreeTreeHandle
net.minecraft.world.level.biome.PaperNativeClimateRTree	(JJJJJJJJI)I	nativeSearchBoundedOnePacked,nativeSearchCurrentOnePacked
net.minecraft.world.level.biome.PaperNativeClimateRTree	(J[JI[I[J)I	nativeSearchBoundedBatchPacked
net.minecraft.world.level.biome.PaperNativeClimateRTree	([J[J)J	nativeBuildTreeHandle
net.minecraft.world.level.levelgen.PaperNativeNoiseChunkWrapCapacity	([I[I[FI[J)I	shapeSummary
net.minecraft.world.level.levelgen.synth.PaperNativePerlinNoise	(J)V	nativeFreeHandle
net.minecraft.world.level.levelgen.synth.PaperNativePerlinNoise	(JDDD)D	nativeGetValueNoYScale
net.minecraft.world.level.levelgen.synth.PaperNativePerlinNoise	(JDDDDDZ)D	nativeGetValue
net.minecraft.world.level.levelgen.synth.PaperNativePerlinNoise	([B[B[D[D[D[DDD)J	nativeBuildHandle
